input,level,output
0,66660.614,12799
0,50661.864,12799
0,39804.253,8686.0888
0,33966.334,4670.3351
0,29063.091,3922.594
0,29063.091,0
0,29063.091,0
0,29063.091,0
0,29063.091,0
0,29063.091,0
0,29063.091,0
0,29063.091,0
0,15998.75,10451.473
0,0,12799
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5079.2831,4063.4265,0
2979.0865,6446.6957,0
0,6446.6957,0
0,6446.6957,0
0,6446.6957,0
0,5966.6143,384.06514
0,5966.6143,0
0,5966.6143,0
11247.141,14964.327,0
12799,25203.527,0
12799,35442.727,0
12799,45681.927,0
2517.1538,47695.65,0
0,47695.65,0
0,41372.788,5058.2901
0,27175.001,11358.229
0,11176.251,12799
0,2346.5608,7063.7523
0,0,1877.2486
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7198.9937,5759.1949,0
7936.2243,12108.174,0
0,12108.174,0
0,12108.174,0
0,12108.174,0
0,3547.8208,6848.2829
0,0,2838.2566
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1707.0493,1365.6394,0
12799,11604.839,0
12799,21844.039,0
12799,32083.239,0
12799,42322.439,0
12799,52561.639,0
12799,62800.839,0
12799,73040.039,0
12799,83279.239,0
218.23641,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
0,83453.829,0
94.92221,83529.766,0
0,83529.766,0
0,83529.766,0
0,83529.766,0
0,83529.766,0
0,83529.766,0
1564.2589,84781.173,0
8053.5332,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,79101.096,9698.3233
0,63102.346,12799
0,47103.596,12799
0,31104.846,12799
0,21367.252,7790.0754
0,14328.931,5630.6563
0,14328.931,0
3731.2606,17313.94,0
4964.2392,21285.331,0
4997.0349,25282.959,0
4655.2946,29007.195,0
4829.7372,32870.984,0
0,32870.984,0
0,18472.16,11519.059
0,6430.9531,9632.9658
0,6430.9531,0
12799,16670.153,0
12799,26909.353,0
12799,37148.553,0
12799,47387.753,0
12799,57626.953,0
12799,67866.153,0
12799,78105.353,0
0,78105.353,0
0,62319.081,12629.018
0,46320.331,12799
0,30321.581,12799
0,14322.831,12799
0,3267.2715,8844.4476
0,0,2613.8172
0,0,0
4070.5742,3256.4594,0
8724.4613,10236.028,0
9714.291,18007.461,0
8315.306,24659.706,0
6404.3884,29783.217,0
1377.1567,30884.942,0
0,21053.512,7865.1444
0,10354.6,8559.1291
11250.087,19354.67,0
12799,29593.87,0
12799,39833.07,0
12799,50072.27,0
12799,60311.47,0
12799,70550.67,0
12799,80789.87,0
12799,91029.07,0
243.66292,91224,0
0,75225.25,12799
0,59226.5,12799
0,43227.75,12799
0,27229,12799
0,11665.745,12450.604
0,3891.9926,6219.002
0,3891.9926,0
0,3891.9926,0
2583.5945,5958.8682,0
2974.7551,8338.6723,0
2620.5495,10435.112,0
2233.909,12222.239,0
0,12222.239,0
0,4758.7512,5970.7903
0,0,3807.0009
9599.264,7679.4112,0
12799,17918.611,0
12799,28157.811,0
12799,38397.011,0
12799,48636.211,0
12799,58875.411,0
12799,69114.611,0
12799,79353.811,0
5184.1964,83501.168,0
0,67515.357,12788.649
0,51516.607,12799
0,35517.857,12799
0,19519.107,12799
0,5581.298,11150.247
0,0,4465.0384
0,0,0
0,0,0
4451.8667,3561.4934,0
7005.8925,9166.2073,0
9192.2616,16520.017,0
4318.1437,19974.532,0
1944.393,21530.046,0
0,12273.447,7405.2795
0,0,9818.7572
0,0,0
0,0,0
0,0,0
4562.4649,3649.9719,0
10146.163,11766.902,0
10750.85,20367.582,0
5306.541,24612.815,0
0,24612.815,0
0,24612.815,0
0,17042.778,6056.0296
0,1044.0278,12799
0,0,835.22228
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
670.53512,536.4281,0
7308.6326,6383.3342,0
12799,16622.534,0
12799,26861.734,0
12799,37100.934,0
12799,47340.134,0
0,47340.134,0
0,47340.134,0
0,36366.591,8778.8346
0,28403.78,6370.2486
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
0,28403.78,0
12177.99,38146.172,0
12799,48385.372,0
12799,58624.572,0
12799,68863.772,0
12799,79102.972,0
12799,89342.172,0
2352.2846,91224,0
0,91224,0
0,91224,0
0,76316.609,11925.913
0,60317.859,12799
0,44319.109,12799
