input,level,output
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"28,242088","22,59367",0
"105,24318","106,78822",0
"127,58205","208,85385",0
"49,681335","248,59892",0
0,"248,59892",0
0,"248,59892",0
0,"88,611423","127,99"
0,"75,674868","10,349244"
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,"75,674868",0
0,0,"60,539895"
0,0,0
0,0,0
0,0,0
"127,99","102,392",0
"127,99","204,784",0
"127,99","307,176",0
"127,99","409,568",0
"127,99","511,96",0
0,"511,96",0
0,"511,96",0
0,"454,11825","46,273399"
0,"454,11825",0
0,"454,11825",0
0,"454,11825",0
0,"454,11825",0
"62,060625","503,76675",0
"77,656059","565,8916",0
"88,212178","636,46134",0
"68,121654","690,95866",0
"46,18043","727,90301",0
"15,321854","740,16049",0
0,"740,16049",0
0,"740,16049",0
0,"740,16049",0
0,"740,16049",0
0,"740,16049",0
0,"740,16049",0
"45,372736","776,45868",0
"105,60778","860,9449",0
"64,118869","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"859,2806","42,367524"
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"859,2806",0
0,"723,51904","108,60924"
0,"622,37116","80,918302"
0,"606,70586","12,532242"
0,"606,70586",0
0,"606,70586",0
0,"606,70586",0
"5,8283262","611,36852",0
0,"611,36852",0
0,"611,36852",0
0,"611,36852",0
0,"611,36852",0
0,"451,38102","127,99"
0,"291,39352","127,99"
0,"131,40602","127,99"
0,"20,682093","88,579144"
0,0,"16,545675"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"83,84027","67,072216",0
"84,199073","134,43147",0
"46,923106","171,96996",0
0,"171,96996",0
0,"171,96996",0
0,"171,96996",0
0,"131,2418","32,582524"
